Name,Date,RSI-modified [m/s] ,Jump Height (Imp-Mom) [cm] ,Concentric Impulse % (Asym) (%),Eccentric Deceleration Impulse % (Asym) (%),Landing Impulse % (Asym) (%),,Name,Date,RSI-modified [m/s] ,Jump Height (Imp-Mom) [cm] ,Concentric Impulse % (Asym) (%),Eccentric Deceleration Impulse % (Asym) (%),Landing Impulse % (Asym) (%),,Name,Date,RSI-modified [m/s] ,Jump Height (Imp-Mom) [cm] ,Concentric Impulse % (Asym) (%),Eccentric Deceleration Impulse % (Asym) (%),Landing Impulse % (Asym) (%),Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Name,Date,RSI-modified [m/s] ,Avg,Today vs Avg,vs Last Week
Abe Del Real,8/20/2024,0.99,53.3,6.7 L,26.3 L,30.3 L,,Abe Del Real,8/29/2024,0.95,45.6,4 L,28.6 L,39.8 R,,Abe Del Real,9/5/2024,1.02,43.4,7.5 L,20.8 L,9.8 L,Abe Del Real,9/12/2024,1,Abe Del Real,9/19/2024,1.04,Abe Del Real,9/26/2024,1.03,Abe Del Real,10/3/2024,1.2,Abe Del Real,10/10/2024,1.25,Abe Del Real,10/17/2024,1.24,Abe Del Real,10/31/2024,1.3,Abe Del Real,11/7/2024,1.12,Abe Del Real,11/14/2024,1.09,Abe Del Real,11/21/2024,1.06,Abe Del Real,12/4/2024,1.07,Abe Del Real,12/11/2024,1.03,1.09,-6.1%,-3.9%
Blake Antzaloutas,8/20/2024,0.75,48.1,12.3 R,1 L,39.6 R,,Blake Antzaloutas,8/29/2024,0.77,40.6,7.6 R,11.7 R,55.2 R,,Blake Antzaloutas,9/5/2024,0.8,39.6,13.7 R,18.5 R,47.7 R,Blake Antzaloutas,9/12/2024,0.74,Blake Antzaloutas,9/19/2024,0.79,Blake Antzaloutas,9/26/2024,0.66,Blake Antzaloutas,10/3/2024,0.73,,,,,,,,,,Blake Antzaloutas,11/7/2024,0.73,Blake Antzaloutas,11/14/2024,0.75,Blake Antzaloutas,11/21/2024,0.76,Blake Antzaloutas,12/4/2024,0.79,Blake Antzaloutas,12/11/2024,0.73,0.75,-2.7%,-8.2%
Blake Cotton,8/20/2024,0.9,48.7,5.3 L,15.2 R,20.9 R,,Blake Cotton,8/29/2024,0.79,48.1,5.1 L,4.6 L,45.6 R,,Blake Cotton,9/5/2024,0.92,47.9,3.6 R,29.2 R,18.8 R,Blake Cotton,9/12/2024,1.16,Blake Cotton,9/19/2024,1.04,Blake Cotton,9/26/2024,1.16,Blake Cotton,10/3/2024,1.03,Blake Cotton,10/10/2024,1.13,Blake Cotton,10/17/2024,0.9,Blake Cotton,10/31/2024,0.97,Blake Cotton,11/7/2024,0.98,Blake Cotton,11/14/2024,1.11,Blake Cotton,11/21/2024,1.08,Blake Cotton,12/4/2024,1.06,Blake Cotton,12/11/2024,0.99,1.01,-2.5%,-7.1%
Chaz Davis,8/20/2024,0.89,47.9,5.6 R,26.9 R,20.6 L,,Chaz Davis,8/29/2024,0.9,46.5,1.5 R,22.2 R,9.2 L,,Chaz Davis,9/5/2024,1.02,45.7,7.5 R,21.7 R,12 R,Chaz Davis,9/12/2024,1.02,Chaz Davis,9/19/2024,0.99,Chaz Davis,9/26/2024,1.08,Chaz Davis,10/3/2024,0.94,Chaz Davis,10/10/2024,1.07,Chaz Davis,10/17/2024,1.04,Chaz Davis,10/31/2024,1.12,Chaz Davis,11/7/2024,1.25,Chaz Davis,11/14/2024,1.21,Chaz Davis,11/21/2024,1.17,Chaz Davis,12/4/2024,1.03,Chaz Davis,12/11/2024,1.07,1.05,1.6%,3.7%
Christian Calhoun,8/20/2024,1.32,55.1,3.4 L,16.3 L,8.8 R,,,,,,,,,,,,,,,,,,,,Christian Calhoun,9/19/2024,1.21,Christian Calhoun,9/26/2024,1.26,Christian Calhoun,10/3/2024,1.36,Christian Calhoun,10/10/2024,1.5,Christian Calhoun,10/17/2024,1.43,Christian Calhoun,10/31/2024,1.32,Christian Calhoun,11/7/2024,1.42,Christian Calhoun,11/14/2024,1.24,,,,Christian Calhoun,12/4/2024,1.46,Christian Calhoun,12/11/2024,1.5,1.37,9.0%,2.7%
CJ Hutton,8/20/2024,1.02,44.5,3.5 R,16.6 L,29.1 R,,CJ Hutton,8/29/2024,0.86,41.3,5.4 R,30 L,23.9 L,,CJ Hutton,9/5/2024,0.92,37,2.9 R,25.4 L,14.5 L,CJ Hutton,9/12/2024,0.92,CJ Hutton,9/19/2024,0.86,CJ Hutton,9/26/2024,0.93,CJ Hutton,10/3/2024,0.89,CJ Hutton,10/10/2024,0.88,CJ Hutton,10/17/2024,0.87,CJ Hutton,10/31/2024,0.93,CJ Hutton,11/7/2024,0.87,CJ Hutton,11/14/2024,0.9,CJ Hutton,11/21/2024,0.88,CJ Hutton,12/4/2024,0.93,CJ Hutton,12/11/2024,0.91,0.90,0.6%,-2.2%
David Meyer,8/20/2024,0.89,48.7,10.6 R,25.2 R,52 L,,David Meyer,8/29/2024,0.81,44.4,9.3 R,14 R,33.7 L,,David Meyer,9/5/2024,0.82,45.5,10.7 R,20.7 R,29 L,David Meyer,9/12/2024,0.97,David Meyer,9/19/2024,0.94,David Meyer,9/26/2024,0.96,David Meyer,10/3/2024,0.92,David Meyer,10/10/2024,0.98,David Meyer,10/17/2024,0.89,David Meyer,10/31/2024,0.88,David Meyer,11/7/2024,1.03,David Meyer,11/14/2024,1,David Meyer,11/21/2024,1,David Meyer,12/4/2024,1.08,David Meyer,12/10/2024,1.08,0.95,12.0%,0.0%
Elijah Simsonson,8/20/2024,0.65,38.9,12.8 R,8.8 R,33.6 R,,Elijah Simsonson,8/29/2024,0.6,37.7,25.4 R,15.9 R,16.6 R,,Elijah Simsonson,9/5/2024,0.65,36.2,29.4 R,21.7 R,16.8 L,Elijah Simsonson,9/12/2024,0.66,Elijah Simsonson,9/19/2024,0.69,Elijah Simsonson,9/26/2024,0.69,Elijah Simsonson,10/3/2024,0.7,Elijah Simsonson,10/10/2024,0.76,Elijah Simsonson,10/17/2024,0.65,Elijah Simsonson,10/31/2024,0.67,Elijah Simsonson,11/7/2024,0.71,Elijah Simsonson,11/14/2024,0.64,Elijah Simsonson,11/21/2024,0.68,Elijah Simsonson,12/4/2024,0.77,Elijah Simsonson,12/11/2024,0.8,0.69,14.0%,3.8%
Ernesto Nava,8/20/2024,0.55,34,9.8 L,1.9 L,59.6 R,,Ernesto Nava,8/29/2024,0.55,30.5,5.8 L,0.9 R,63.8 R,,Ernesto Nava,9/5/2024,0.66,28.9,6.3 L,2.8 R,24.2 R,Ernesto Nava,9/12/2024,0.61,,,,Ernesto Nava,9/26/2024,0.66,Ernesto Nava,10/3/2024,0.69,Ernesto Nava,10/10/2024,0.64,Ernesto Nava,10/17/2024,0.53,Ernesto Nava,10/31/2024,0.61,Ernesto Nava,11/7/2024,0.6,Ernesto Nava,11/14/2024,0.62,Ernesto Nava,11/21/2024,0.6,Ernesto Nava,12/4/2024,0.65,Ernesto Nava,12/11/2024,0.6,0.61,-2.0%,-8.3%
Evan Bearden,8/20/2024,0.98,36.9,7.5 R,14.9 R,30.9 R,,Evan Bearden,8/29/2024,0.92,33.9,5.4 R,20.6 R,8.2 L,,Evan Bearden,9/5/2024,1.03,35.7,6.5 R,17.7 R,21.7 R,Evan Bearden,9/12/2024,1.07,Evan Bearden,9/19/2024,1.09,Evan Bearden,9/26/2024,1.05,Evan Bearden,10/3/2024,1.08,Evan Bearden,10/10/2024,1.03,Evan Bearden,10/17/2024,1.08,Evan Bearden,10/31/2024,0.98,Evan Bearden,11/7/2024,0.95,Evan Bearden,11/14/2024,1.05,Evan Bearden,11/21/2024,1.17,Evan Bearden,12/4/2024,1.11,Evan Bearden,12/11/2024,0.97,1.04,-6.9%,-14.4%
